Cod. Departamento,Nombre Departamento,Cod. Municipio,Nombre Municipio,Tipo,LATITUD,LONGITUD
15,BOYACÁ,15814,TOCA,Municipio,5.580254287,-73.160696902
15,BOYACÁ,15816,TOGÜÍ,Municipio,5.921830062,-73.489218055
15,BOYACÁ,15820,TÓPAGA,Municipio,5.765350303,-72.836729576
15,BOYACÁ,15822,TOTA,Municipio,5.501297215,-72.996332969
15,BOYACÁ,15832,TUNUNGUÁ,Municipio,5.720301516,-73.943309265
15,BOYACÁ,15835,TURMEQUÉ,Municipio,5.305697418,-73.509087138
15,BOYACÁ,15837,TUTA,Municipio,5.678126998,-73.173430534
15,BOYACÁ,15839,TUTAZÁ,Municipio,6.078051903,-72.857078319
15,BOYACÁ,15842,ÚMBITA,Municipio,5.217241368,-73.463384768
15,BOYACÁ,15861,VENTAQUEMADA,Municipio,5.383385481,-73.520979424
15,BOYACÁ,15879,VIRACACHÁ,Municipio,5.440558216,-73.266274556
15,BOYACÁ,15897,ZETAQUIRA,Municipio,5.285635983,-73.167630912
17,CALDAS,17001,MANIZALES,Municipio,5.08343301,-75.50727881
17,CALDAS,17013,AGUADAS,Municipio,5.616204006,-75.455447104
17,CALDAS,17042,ANSERMA,Municipio,5.20029922,-75.752890779
17,CALDAS,17050,ARANZAZU,Municipio,5.265539969,-75.473926194
17,CALDAS,17088,BELALCÁZAR,Municipio,4.99467728,-75.812259892
17,CALDAS,17174,CHINCHINÁ,Municipio,4.974340569,-75.659546861
17,CALDAS,17272,FILADELFIA,Municipio,5.285743777,-75.589787839
17,CALDAS,17380,LA DORADA,Municipio,5.410515691,-74.72114262
17,CALDAS,17388,LA MERCED,Municipio,5.393185716,-75.557910707
17,CALDAS,17433,MANZANARES,Municipio,5.23295391,-75.152634472
17,CALDAS,17442,MARMATO,Municipio,5.492632029,-75.60209955
17,CALDAS,17444,MARQUETALIA,Municipio,5.309142491,-75.041178923
17,CALDAS,17446,MARULANDA,Municipio,5.235585244,-75.283166479
17,CALDAS,17486,NEIRA,Municipio,5.183358589,-75.506929774
17,CALDAS,17495,NORCASIA,Municipio,5.638062349,-74.854927072
17,CALDAS,17513,PÁCORA,Municipio,5.500035035,-75.482450565
17,CALDAS,17524,PALESTINA,Municipio,5.050342543,-75.661762659
17,CALDAS,17541,PENSILVANIA,Municipio,5.407187836,-75.166839962
17,CALDAS,17614,RIOSUCIO,Municipio,5.442275418,-75.75220499
